Algorithm,Benchmark,Evals,No. Successful Runs on Train,No. Successful Runs on Test,Median Fitness on Test,Best Fitness on Test,Best Expression
UCT,ADD_INTEGER_AND_FLOAT,32768,30,17,1.72769375004977E-9,1.1125787496843625E-9,return_void print_float fadd i2f iload_1 fload_2
GP,ADD_INTEGER_AND_FLOAT,32768,30,30,1.189556249999E-9,1.07426874968e-09,return_void return_void return_void return_void print_float fadd fload_2 i2f iload_1
UCT,SMALL_OR_LARGE,32768,2,2,0.024,0,concat aload_4 if (I)< iload_3 iload_1 return_void return_void print_ref aload_5 if (I)< iload_1 iload_1 return_void nop if (I)<= iload_2 iload_1 concat aload_4 return_void nop return_void return_void return_void print_ref aload_4
GP,SMALL_OR_LARGE,32768,7,6,0.21425,0,concat if (I)< iload_3 iload_1 print_ref aload_5 nop concat concat if (I)<= iload_1 iload_2 iload_3 return_void nop return_void print_ref aload_4 print_ref aload_5
UCT,COMPARE_STRING_LENGTHS,32768,7,4,0.0725,0,concat aload_3 concat concat if (I)< strlen aload_2 strlen aload_3 if (I)< strlen aload_1 strlen aload_2 return_bool true aload_1 aload_3 aload_1 return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool return_bool false
GP,COMPARE_STRING_LENGTHS,32768,5,3,0.0795,0,concat aload_3 concat aload_1 concat if (I)<= strlen aload_3 strlen aload_2 strlen aload_3 if (I)<= strlen aload_2 strlen aload_1 strlen aload_1 return_bool true return_bool false
UCT,GRADE,32768,0,0,0.10003125,0.095875,if (I)< iload_1 iload_4 return_void return_void return_void print_ref aload_9 concat iload_4 return_void return_void return_void return_void return_void print_ref aload_7
GP,GRADE,32768,0,0,0.0984375,0.0236875,if (I)< iload_1 iload_2 if (I)<= iload_5 iload_1 if (I)<= iload_1 iload_1 if (I)<= iload_4 iload_2 if (I)< iload_1 iload_3 return_void print_ref aload_8 return_void print_ref aload_7 return_void nop return_void print_ref aload_8 return_void print_ref aload_10 concat print_ref aload_6 return_void return_void nop
UCT,MEDIAN,32768,0,0,0.030784375,0.028817499999999992,if (I)<= iload_1 iload_3 concat concat iload_2 return_void print_int iload_3 iload_2 concat nop concat if (I)< iload_2 iload_1 return_void print_int iload_2 return_void return_void print_int iload_1 print_int iload_1
GP,MEDIAN,32768,1,0,0.034329375,0.0035,concat concat if (I)< iload_2 iload_1 if (I)<= iload_3 iload_1 if (I)< iload_3 iload_1 if (I)<= iload_2 iload_3 print_int iload_3 print_int iload_2 return_void nop return_void print_int iload_1 if (I)< iload_2 iload_3 if (I)< iload_1 iload_1 print_int iload_2 print_int iload_2 if (I)< iload_1 iload_3 return_void print_int iload_3 return_void print_int iload_1 return_void nop print_int iload_1
UCT,SMALLEST,32768,0,0,0.0325475,0.02253124999999999,if (I)<= iload_4 iload_2 return_void return_void print_int iload_4 if (I)< iload_1 iload_2 return_void print_int iload_1 concat return_void print_int iload_2 if (I)<= iload_4 iload_3 print_int iload_1 return_void return_void print_int iload_4
GP,SMALLEST,32768,0,0,0.02378375,0.00844,concat concat concat if (I)<= iload_4 iload_1 if (I)<= iload_2 iload_4 return_void print_int iload_2 if (I)< iload_3 iload_4 print_int iload_3 print_int iload_4 if (I)< iload_3 iload_1 print_int iload_3 print_int iload_1 return_void nop if (I)< iload_2 iload_2 concat print_int iload_4 return_void print_int iload_2 print_int iload_2 return_void return_void nop
